region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips,is_in_service_tag
US Gov Virginia,Artifact Blob storage primary,dbartifactsprodusgvirg.blob.core.usgovcloudapi.net,usgovvirginia,['52.126.192.196/32'],no
US Gov Virginia,Artifact Blob storage secondary,dbartifactsprodusgariz.blob.core.usgovcloudapi.net,usgovvirginia,['52.239.166.10/32'],no
US Gov Virginia,Log Blob storage,dblogprodusgovvirg.blob.core.usgovcloudapi.net,usgovvirginia,['52.227.128.46/32'],no
US Gov Virginia,Event Hub endpoint,prod-usgovvirginia-observabilityeventhubs.servicebus.usgovcloudapi.net,usgovvirginia,['23.97.0.197/32'],no
West Central US,Metastore,consolidated-westcentralus-prod-metastore-0.mysql.database.azure.com,westcentralus,['13.78.145.25/32'],no
West Central US,Artifact Blob storage primary,dbartifactsprodwcentus.blob.core.windows.net,westcentralus,['13.71.200.96/32'],no
West Central US,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,westcentralus,['52.238.56.180/32'],no
West Central US,Log Blob storage,dblogprodwcentus.blob.core.windows.net,westcentralus,['20.150.81.4/32'],no
West Central US,Event Hub endpoint,prod-westcentralus-observabilityeventhubs.servicebus.windows.net,westcentralus,['13.71.194.80/32'],no
West Europe,Metastore,consolidated-westeurope-prod-metastore.mysql.database.azure.com and consolidated-westeurope-prod-metastore-addl-1.mysql.database.azure.com and consolidated-westeurope-prod-metastore-addl-2.mysql.database.azure.com and consolidated-westeurope-prod-metastore-addl-3.mysql.database.azure.com and consolidated-westeuropec2-prod-metastore-0.mysql.database.azure.com and consolidated-westeuropec2-prod-metastore-1.mysql.database.azure.com and consolidated-westeuropec2-prod-metastore-2.mysql.database.azure.com and consolidated-westeuropec2-prod-metastore-3.mysql.database.azure.com,westeurope,"['104.40.169.187/32', '13.69.105.208/32']",no
West Europe,Artifact Blob storage primary,dbartifactsprodwesteu.blob.core.windows.net and arprodwesteua1.blob.core.windows.net and arprodwesteua2.blob.core.windows.net and arprodwesteua3.blob.core.windows.net and arprodwesteua4.blob.core.windows.net and arprodwesteua5.blob.core.windows.net and arprodwesteua6.blob.core.windows.net and arprodwesteua7.blob.core.windows.net and arprodwesteua8.blob.core.windows.net and arprodwesteua9.blob.core.windows.net and arprodwesteua10.blob.core.windows.net and arprodwesteua11.blob.core.windows.net and arprodwesteua12.blob.core.windows.net and arprodwesteua13.blob.core.windows.net and arprodwesteua14.blob.core.windows.net and arprodwesteua15.blob.core.windows.net,westeurope,"['20.150.9.132/32', '20.60.250.196/32', '20.60.197.68/32', '20.60.222.129/32', '52.239.242.196/32', '52.239.141.68/32', '20.150.122.36/32', '20.150.122.68/32', '20.60.223.68/32', '20.150.122.100/32', '20.150.76.228/32', '20.60.26.196/32']",no
West Europe,Artifact Blob storage secondary,dbartifactsprodnortheu.blob.core.windows.net,westeurope,"['52.239.137.36/32', '52.239.137.164/32', '52.245.40.100/32']",no
West Europe,Log Blob storage,dblogprodwesteurope.blob.core.windows.net,westeurope,['52.239.141.36/32'],no
West Europe,Event Hub endpoint,prod-westeurope-observabilityeventhubs.servicebus.windows.net and prod-westeuc2-observabilityeventhubs.servicebus.windows.net,westeurope,"['13.69.64.0/32', '23.100.14.185/32']",no
West India,Metastore,consolidated-westindia-prod-metastore.mysql.database.azure.com,westindia,['104.211.160.80/32'],no
West India,Artifact Blob storage primary,dbartifactsprodwindia.blob.core.windows.net,westindia,['52.239.135.234/32'],no
West India,Artifact Blob storage secondary,dbartifactsprodsindia.blob.core.windows.net,westindia,['104.211.232.16/32'],no
West India,Log Blob storage,dblogprodcindia.blob.core.windows.net,westindia,['20.38.126.228/32'],no
West India,Event Hub endpoint,prod-centralindia-observabilityeventhubs.servicebus.windows.net,westindia,['104.211.98.185/32'],no
West US,Metastore,consolidated-westus-prod-metastore.mysql.database.azure.com and consolidated-westus-prod-metastore-addl-1.mysql.database.azure.com and consolidated-westus-prod-metastore-addl-2.mysql.database.azure.com and consolidated-westus-prod-metastore-addl-3.mysql.database.azure.com and consolidated-westus2c2-prod-metastore-addl-1.mysql.database.azure.com,westus,"['104.42.238.205/32', '13.66.136.192/32', '13.86.217.212/32', '13.86.216.212/32']",no
West US,Artifact Blob storage primary,dbartifactsprodwestus.blob.core.windows.net and arprodwestusa1.blob.core.windows.net and arprodwestusa2.blob.core.windows.net and arprodwestusa3.blob.core.windows.net and arprodwestusa4.blob.core.windows.net and arprodwestusa5.blob.core.windows.net and arprodwestusa6.blob.core.windows.net and arprodwestusa7.blob.core.windows.net and arprodwestusa8.blob.core.windows.net and arprodwestusa9.blob.core.windows.net and arprodwestusa10.blob.core.windows.net and arprodwestusa11.blob.core.windows.net and arprodwestusa12.blob.core.windows.net and arprodwestusa13.blob.core.windows.net and arprodwestusa14.blob.core.windows.net and arprodwestusa15.blob.core.windows.net,westus,"['20.60.1.4/32', '20.60.168.1/32', '52.239.163.164/32', '52.238.56.180/32', '20.60.81.229/32', '52.239.162.4/32', '52.239.229.100/32', '52.190.240.132/32', '20.150.35.4/32', '52.241.88.36/32', '52.239.228.196/32']",no
West US,Artifact Blob storage secondary,dbartifactsprodwestus2.blob.core.windows.net,westus,"['20.150.78.100/32', '20.150.78.36/32', '20.150.78.164/32']",no
West US,Log Blob storage,dblogprodwestus.blob.core.windows.net,westus,['52.239.229.100/32'],no
West US,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net and prod-westus2c2-observabilityeventhubs.servicebus.windows.net,westus,"['40.112.242.0/32', '13.66.138.69/32']",no
West US 2,Metastore,consolidated-westus2-prod-metastore.mysql.database.azure.com and consolidated-westus2-prod-metastore-addl-1.mysql.database.azure.com and consolidated-westus2-prod-metastore-addl-2.mysql.database.azure.com,westus2,['13.66.136.192/32'],no
West US 2,Artifact Blob storage primary,dbartifactsprodwestus2.blob.core.windows.net and arprodwestus2a1.blob.core.windows.net and arprodwestus2a2.blob.core.windows.net and arprodwestus2a3.blob.core.windows.net and arprodwestus2a4.blob.core.windows.net and arprodwestus2a5.blob.core.windows.net and arprodwestus2a6.blob.core.windows.net,westus2,"['52.239.193.100/32', '20.150.78.100/32', '20.60.153.129/32', '20.60.153.225/32', '52.239.236.228/32', '52.239.193.68/32', '20.150.78.36/32', '20.150.78.164/32']",no
West US 2,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,westus2,['52.238.56.180/32'],no
West US 2,Log Blob storage,dblogprodwestus.blob.core.windows.net and dblogprodwestus2.blob.core.windows.net,westus2,"['52.239.229.100/32', '20.150.87.164/32', '20.150.87.196/32', '20.150.87.228/32']",no
West US 2,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net,westus2,['40.112.242.0/32'],no
