region,attribute,value,az_region_to_deploy_fuzzy_match,whitelistips,is_in_service_tag
Central US,Artifact Blob storage primary,dbartifactsprodcus.blob.core.windows.net and arprodcusa1.blob.core.windows.net and arprodcusa2.blob.core.windows.net and arprodcusa3.blob.core.windows.net and arprodcusa4.blob.core.windows.net and arprodcusa5.blob.core.windows.net and arprodcusa6.blob.core.windows.net,centralus,"['20.150.77.228/32', '20.60.18.68/32', '20.150.77.164/32', '52.239.177.100/32', '20.60.244.163/32', '20.150.89.100/32', '20.150.95.132/32', '20.150.95.196/32', '20.60.240.65/32']",no
Central US,Artifact Blob storage secondary,dbartifactsprodscus.blob.core.windows.net,centralus,['20.38.104.100/32'],no
Central US,Log Blob storage,dblogprodwestus.blob.core.windows.net and dblogprodcentralus.blob.core.windows.net,centralus,"['52.239.177.164/32', '52.239.177.132/32', '52.239.229.100/32', '20.60.178.228/32']",no
Central US,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net and prod-centralusc2-observabilityeventhubs.servicebus.windows.net,centralus,"['40.112.242.0/32', '52.182.138.142/32']",no
China East 2,Metastore,consolidated-chinaeast2-prod-metastore-0.mysql.database.chinacloudapi.cn,chinaeast2,['40.73.82.1/32'],no
China East 2,Artifact Blob storage primary,dbartifactsprodcne2.blob.core.chinacloudapi.cn,chinaeast2,['40.73.81.68/32'],no
China East 2,Artifact Blob storage secondary,dbartifactsprodcnn2.blob.core.chinacloudapi.cn,chinaeast2,['40.73.48.4/32'],no
China East 2,Log Blob storage,dblogprodchinaeast2.blob.core.chinacloudapi.cn,chinaeast2,['40.73.85.36/32'],no
China East 2,Event Hub endpoint,prod-chinaeast2-observabilityeventhubs.servicebus.chinacloudapi.cn,chinaeast2,['40.73.168.36/32'],no
China North 2,Metastore,consolidated-chinanorth2-prod-metastore-0.mysql.database.chinacloudapi.cn,chinanorth2,['40.73.50.0/32'],no
China North 2,Artifact Blob storage primary,dbartifactsprodcnn2.blob.core.chinacloudapi.cn,chinanorth2,['40.73.48.4/32'],no
China North 2,Artifact Blob storage secondary,dbartifactsprodcnn2.blob.core.chinacloudapi.cn (identical to primary),chinanorth2,[],n/a
China North 2,Log Blob storage,dblogprodchinanorth2.blob.core.chinacloudapi.cn,chinanorth2,['40.73.48.100/32'],no
China North 2,Event Hub endpoint,prod-chinanorth2-observabilityeventhubs.servicebus.chinacloudapi.cn,chinanorth2,['40.73.136.34/32'],no
East Asia,Metastore,consolidated-eastasia-prod-metastore.mysql.database.azure.com,eastasia,['13.75.33.21/32'],no
East Asia,Artifact Blob storage primary,dbartifactsprodeap.blob.core.windows.net,eastasia,['52.175.112.16/32'],no
East Asia,Artifact Blob storage secondary,dbartifactsprodseap.blob.core.windows.net,eastasia,"['52.239.197.100/32', '52.239.129.68/32', '52.239.129.196/32']",no
East Asia,Log Blob storage,dblogprodseasia.blob.core.windows.net,eastasia,"['20.150.86.36/32', '20.150.86.4/32', '20.150.86.100/32']",no
East Asia,Event Hub endpoint,prod-southeastasia-observabilityeventhubs.servicebus.windows.net,eastasia,['40.78.234.0/32'],no
East US,Metastore,consolidated-eastus-prod-metastore.mysql.database.azure.com and consolidated-eastus-prod-metastore-addl-1.mysql.database.azure.com and consolidated-eastus-prod-metastore-addl-2.mysql.database.azure.com and consolidated-eastus-prod-metastore-addl-3.mysql.database.azure.com and consolidated-eastus-prod-metastore-addl-4.mysql.database.azure.com and consolidated-eastusc2-prod-metastore-0.mysql.database.azure.com and consolidated-eastusc3-prod-metastore-0.mysql.database.azure.com and consolidated-eastusc3-prod-metastore-1.mysql.database.azure.com and consolidated-eastusc3-prod-metastore-2.mysql.database.azure.com and consolidated-eastusc3-prod-metastore-3.mysql.database.azure.com,eastus,"['40.71.8.203/32', '40.71.83.113/32']",no
East US,Artifact Blob storage primary,dbartifactsprodeastus.blob.core.windows.net and arprodeastusa1.blob.core.windows.net and arprodeastusa2.blob.core.windows.net and arprodeastusa3.blob.core.windows.net and arprodeastusa4.blob.core.windows.net and arprodeastusa5.blob.core.windows.net and arprodeastusa6.blob.core.windows.net,eastus,"['20.60.7.36/32', '20.209.1.65/32', '20.60.128.228/32', '52.239.155.196/32', '52.239.153.36/32', '52.239.171.228/32', '20.60.7.4/32', '20.150.90.100/32']",no
East US,Artifact Blob storage secondary,dbartifactsprodeastus2.blob.core.windows.net,eastus,['13.77.115.36/32'],no
East US,Log Blob storage,dblogprodwestus.blob.core.windows.net and dblogprodeastus.blob.core.windows.net,eastus,"['52.239.229.100/32', '52.239.171.4/32', '20.150.90.4/32', '52.239.170.164/32']",no
East US,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net and prod-eastusc2-observabilityeventhubs.servicebus.windows.net and prod-eastusc3-observabilityeventhubs.servicebus.windows.net,eastus,"['40.112.242.0/32', '40.71.10.128/32']",no
East US 2,Metastore,consolidated-eastus2-prod-metastore.mysql.database.azure.com and consolidated-eastus2-prod-metastore-addl-1.mysql.database.azure.com and consolidated-eastus2-prod-metastore-addl-2.mysql.database.azure.com and consolidated-eastus2-prod-metastore-addl-3.mysql.database.azure.com and consolidated-eastus2c2-prod-metastore-0.mysql.database.azure.com and consolidated-eastus2c2-prod-metastore-1.mysql.database.azure.com and consolidated-eastus2c2-prod-metastore-2.mysql.database.azure.com and consolidated-eastus2c2-prod-metastore-3.mysql.database.azure.com,eastus2,"['40.70.144.38/32', '52.167.105.38/32']",no
East US 2,Artifact Blob storage primary,dbartifactsprodeastus2.blob.core.windows.net and arprodeastus2a1.blob.core.windows.net and arprodeastus2a2.blob.core.windows.net and arprodeastus2a3.blob.core.windows.net and arprodeastus2a4.blob.core.windows.net and arprodeastus2a5.blob.core.windows.net and arprodeastus2a6.blob.core.windows.net and arprodeastus2a7.blob.core.windows.net and arprodeastus2a8.blob.core.windows.net and arprodeastus2a9.blob.core.windows.net and arprodeastus2a10.blob.core.windows.net and arprodeastus2a11.blob.core.windows.net and arprodeastus2a12.blob.core.windows.net and arprodeastus2a13.blob.core.windows.net and arprodeastus2a14.blob.core.windows.net and arprodeastus2a15.blob.core.windows.net,eastus2,"['13.77.115.36/32', '52.239.174.4/32', '52.167.88.112/32', '20.60.88.36/32', '20.60.59.69/32', '20.60.89.43/32', '20.150.88.132/32', '52.239.174.132/32', '20.150.29.228/32', '20.60.180.4/32', '52.239.207.100/32', '52.239.174.228/32']",no
East US 2,Artifact Blob storage secondary,dbartifactsprodeastus.blob.core.windows.net,eastus2,"['20.60.7.36/32', '20.60.7.4/32', '20.150.90.100/32']",no
East US 2,Log Blob storage,dblogprodwestus.blob.core.windows.net and dblogprodeastus2.blob.core.windows.net,eastus2,"['52.239.229.100/32', '20.60.59.131/32']",no
East US 2,Event Hub endpoint,prod-westus-observabilityEventHubs.servicebus.windows.net and prod-eastus2c2-observabilityeventhubs.servicebus.windows.net,eastus2,"['40.112.242.0/32', '40.70.146.2/32']",no
France Central,Metastore,consolidated-francecentral-prod-metastore.mysql.database.azure.com,francecentral,['40.79.129.1/32'],no
France Central,Artifact Blob storage primary,dbartifactsprodfrcentral.blob.core.windows.net,francecentral,"['52.239.194.68/32', '52.239.194.4/32', '52.239.134.36/32']",no
France Central,Artifact Blob storage secondary,dbartifactsprodukwest.blob.core.windows.net,francecentral,['51.141.128.100/32'],no
France Central,Log Blob storage,dblogprodfrcentral.blob.core.windows.net,francecentral,"['52.239.194.68/32', '52.239.194.4/32', '52.239.134.36/32']",no
France Central,Event Hub endpoint,prod-francecentral-observabilityeventhubs.servicebus.windows.net,francecentral,['40.79.130.18/32'],no
Germany West Central,Metastore,consolidated-germanywestcentral-prod-metastore-0.mysql.database.azure.com,germanywestcentral,['51.116.152.0/32'],no
Germany West Central,Artifact Blob storage primary,dbartifactsprodgerwescen.blob.core.windows.net,germanywestcentral,['20.38.118.228/32'],no
Germany West Central,Artifact Blob storage secondary,dbartifactsprodswissnor.blob.core.windows.net,germanywestcentral,['52.239.251.68/32'],no
Germany West Central,Log Blob storage,dblogprodgerwescen.blob.core.windows.net,germanywestcentral,['20.38.118.132/32'],no
Germany West Central,Event Hub endpoint,prod-germanywestcentral-observabilityEventHubs.servicebus.windows.net,germanywestcentral,['51.116.154.198/32'],no
Japan East,Metastore,consolidated-japaneast-prod-metastore.mysql.database.azure.com,japaneast,['40.79.192.23/32'],no
Japan East,Artifact Blob storage primary,dbartifactsprodjapaneast.blob.core.windows.net,japaneast,"['52.239.145.132/32', '52.239.145.100/32', '20.38.116.36/32']",no
Japan East,Artifact Blob storage secondary,dbartifactsprodjapanwest.blob.core.windows.net,japaneast,['52.239.147.132/32'],no
Japan East,Log Blob storage,dblogprodjapaneast.blob.core.windows.net,japaneast,"['20.150.85.36/32', '20.150.85.4/32', '20.38.117.228/32']",no
Japan East,Event Hub endpoint,prod-japaneast-observabilityeventhubs.servicebus.windows.net,japaneast,['13.78.106.65/32'],no
Japan West,Metastore,consolidated-japanwest-prod-metastore.mysql.database.azure.com,japanwest,['40.74.96.6/32'],no
Japan West,Artifact Blob storage primary,dbartifactsprodjapanwest.blob.core.windows.net,japanwest,['52.239.147.132/32'],no
Japan West,Artifact Blob storage secondary,dbartifactsprodjapaneast.blob.core.windows.net,japanwest,"['52.239.145.132/32', '52.239.145.100/32', '20.38.116.36/32']",no
Japan West,Log Blob storage,dblogprodjapaneast.blob.core.windows.net,japanwest,"['20.150.85.36/32', '20.150.85.4/32', '20.38.117.228/32']",no
Japan West,Event Hub endpoint,prod-japaneast-observabilityeventhubs.servicebus.windows.net,japanwest,['13.78.106.65/32'],no
Korea Central,Metastore,consolidated-koreacentral-prod-metastore.mysql.database.azure.com,koreacentral,['52.231.17.13/32'],no
Korea Central,Artifact Blob storage primary,dbartifactsprodkoreacen.blob.core.windows.net,koreacentral,['52.239.148.4/32'],no
Korea Central,Artifact Blob storage secondary,dbartifactsprodwestus.blob.core.windows.net,koreacentral,['52.238.56.180/32'],no
Korea Central,Log Blob storage,dblogprodkoreacentral.blob.core.windows.net,koreacentral,['52.239.190.132/32'],no
Korea Central,Event Hub endpoint,prod-koreacentral-observabilityeventhubs.servicebus.windows.net,koreacentral,['52.231.18.16/32'],no
